incorrect,correct
0 ම නැටුම් නටද්දී වාහන ඔහුගෙන පොතක් ගන්හුවා,0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගන්හුවා
0 මම නැටුම් නටද්දී වාහන ඔහුෙගන් පොතක් ගන්නලදී,0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගන්නලදී
0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් ොක් ගත්තෙමි,0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගත්තෙමි
0 මම නැටුම් නටද්දී වාහ ඔහුගෙන් පොතක් තග්තෙමු,0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගත්තෙමු
0 මම නැුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගත්තෙහි,0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගත්තෙහි
0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගත්තෙහු,0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගත්තෙහු
1 මම නැටමු් නටද්දී වාහන ඔහුගෙන් ොපතක් ගත්තාය,1 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගත්තාය
1 මම නැටුම් නටදදී වාහන ඔහුෙන් පොතක් ගත්තේය,1 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගත්තේය
0 මම නැටුම් නටදී වාහන ඔහුගෙන් පොතක් ගත්තෝය,0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගත්තෝය
1 මම නැටුම් නටද්දී වානහ ඔහුගේන පොතක් ගැනේ,1 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනේ
0 මම නැටුම් ටනද්දී වාහන ඔහුගෙන් පොකත් ගැනෙමි,0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනෙමි
0 මම නැටුම් නදට්දී වාහන ඔහුගෙන් පොතක් ගැනෙමු,0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනෙමු
0 මම නැටුම් නදද්ී වාහන ඔහුගෙන් පොතක් ගැනෙහි,0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනෙහි
0 මම නැටුම් නද්දී වාහන ඔහුගෙන් පොත් ගැනෙහු,0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනෙහු
1 මම නැටුම් නටද්ීද වාහන ඔහුගෙන් පොතක් ගැනෙයි,1 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනෙයි
0 මම නැටුම් නටද්දී ාහන ඔහුගෙන් ොතක් ගැනෙති,0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනෙති
1 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවෙයි,1 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවෙයි
0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් ොපතක් ගැනවෙිත,0 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවෙති
1 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොත්ක ගැනවේ,1 මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙි,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙති
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙත්වා,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙත්වා
0 මම නැටුම් නටදද්ී මම ඔහුගෙන් පොතක් දෙනවා,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙනවා
0 මම නැටුම් නටද්දී මම ඔහුගන් පොතක් දෙනවාලා,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙනවාලා
0 මම නැටුම් නටදදී මම ඔහුගෙන් පොක් දෙනු,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙනු
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් න්න,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙන්න
0 මම නැටු් නටද්දී මම ඔහුගෙන් පොතක් දෙන්නීය,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙන්නීය
0 මම නැටුම් නට්දදී මම ඔහුගෙන් ොපතක් දෙන්නෙමි,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙන්නෙමි
0 මම නැටුම් නට්දී මම ඔහුගෙන් පොතක් දෙන්නෙමිාව,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙන්නෙමිවා
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙන්නෙමු,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙන්නෙමු
0 මම ැටුම් නටදදී මම ඔහුගෙන් පොතක් දෙන්නෙමුවා,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙන්නෙමුවා
0 මම නැටුම් නටද්ීද මම ඔහුගෙන් පොතක් දෙන්නෙහි,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙන්නෙහි
0 මම නැටුම් නටද්දී ම ඔහුගෙන් පොතක් දෙන්නෙහිවා,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙන්නෙහිවා
0 මම නැටුම් නටද්දී මම ඔහුෙගන් පොතක් දෙන්නේය,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙන්නේය
0 ම නටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙන්නෝය,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙන්නෝය
0 මම නැටුම් ටද්දී මම ඔහුගෙන් පොතක් දීපන්,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දීපන්
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දීපල්ලා,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දීපල්ලා
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පතෝ දෙමි,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙමි
0 මම නැටුම් නට්දදී මම ඔහුගෙන් පොතක් දෙමිවා,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙමිවා
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙමු,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙමු
0 ම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙමුවා,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙමුවා
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොක් දෙයි,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙයි
0 ම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙව,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙව
0 මම නැටුම් නදට්දී මම ඔහුගෙන් පොතක් දෙවති,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවති
0 මම නැටුම් නටද්දී මම හඔුගෙන් පතොක් දෙවන්නීය,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවන්නීය
0 මම නැටම් නටද්දී මම ඔහුගෙන් පොතක් දෙවන්නෙමි,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවන්නෙමි
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවන්නෙමු,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවන්නෙමු
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවන්නෙහි,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවන්නෙහි
0 මම නැටුම් නටද්දී මම ඔහුෙන් පොතක් දවෙන්නෙහු,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවන්නෙහු
0 මම නැටුම් නටද්දී ම ඔහුගෙන් පොතක් දෙවන්නේය,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවන්නේය
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොක් දෙවන්නෝය,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවන්නෝය
0 මම නැටුම් නටද්දී මම ඔහුගනේ පොතක් දෙවමි,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවමි
0 මම නැටුම් නටද්ී මම ඔහුගෙන් පොතක් දෙවමු,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවමු
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් ෙදවිය,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවයි
0 මම නැටුම් නටද්දී ම ඔහුගෙන් පොතක් දෙවහි,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවහි
0 මම නැටු් නටද්දී මම ඔහුගෙන් පොතක් දෙවහු,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවහු
0 ම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවු,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවු
0 මම නැටුම් නදට්දී මම ඔහුගෙන් පොතක් දෙහි,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙහි
0 මම නැටුම් නට්දදී මම ඔහුගෙන් පොතක් දෙහිවා,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙහිවා
0 මම නැුටම් නටද්දී මම ඔහුගෙන් පොතක් දෙහු,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙහු
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙහුවා,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙහුවා
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් ෙනලදී,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙනලදී
0 මම නැටුම් නටද්දී මම ඔහුගේන පොතක් දුන්ෙනමි,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දුන්නෙමි
0 මම නැටුම් නටද්දී ම ඔහුගෙන් පතොක් දුන්නෙමු,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දුන්නෙමු
0 මම නැටුම නටදදී මම ඔහුගෙන් පොතක් දුන්නෙහි,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දුන්නෙහි
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දුන්නෙහු,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දුන්නෙහු
0 ම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දුන්නේය,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දුන්නේය
0 මම නැටුම් නටද්ී මම ඔහුගෙන් පොතක් දුන්නාය,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දුන්නාය
0 මම නැටුම් නට්දදී මම ඔහුගෙන් පොතක් දුන්නෝය,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දුන්නෝය
0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දවේ,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවේ
0 මම නැටුම් නට්දදී මම ඔහුගෙන් පොතක් දෙවෙමි,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවෙමි
0 ම නැටුම් නටද්දී මම ඔහුගෙන් පොතක දෙවෙමු,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවෙමු
0 මම නැටුම් නටද්දී මම ඔහුගෙන් ොතක් දෙවෙහි,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවෙහි
0 මම නැටුම් නටද්දී මම ඔුහගෙන් පොතක් දෙවෙහු,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවෙහු
0 මම නැටුම් නටද්දී මම ඔහුගෙන් ොපතක් දෙවෙයි,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවෙයි
0 මම නැටුම් නටද්දී ම ඔහුගෙන් පොතක් දෙවෙති,0 මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙවෙති
0 ම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙති,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙති
0 මම නැටුම් නටද්දී පඅි ඔහුගෙන් පොතක් දෙත්වා,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙත්වා
0 මම නැටුම් නටද්දී අි ඔහුගෙන් පොක් දෙනවා,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙනවා
0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොකත් දෙනවාලා,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙනවාලා
0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොත් දෙනු,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙනු
0 මම නැටුම් නටද්ද අපි ඔහුගනේ පොතක් දෙන්න,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙන්න
0 මම නැුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙන්නීය,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙන්නීය
0 මම නැටුම් නටද්දී පඅි ඔහුගෙන් පොතක් දෙන්නෙමි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙන්නෙමි
0 මම නැටුම් නටද්දී අපි ඔහුගේන පොතක් දේනෙමිවා,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙන්නෙමිවා
0 මම නැටුම් නටද්ද අිප ඔහුගෙන් පොතක් දෙන්නෙමු,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙන්නෙමු
0 මම නැටුම් නටද්දී අපි හඔුගෙන් පොතක් දෙන්නෙමුවා,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙන්නෙමුවා
0 මම නැටුම් නටද්දී අිප ඔහුගෙන් පොතක් දෙන්නෙහි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙන්නෙහි
0 මම නැටුම නටද්දී අපි හුගෙන් පොතක් දෙන්නෙහිවා,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙන්නෙහිවා
0 මම නැටම් නටද්දී අපි ඔහුගෙන් පොත්ක දෙන්නේය,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙන්නේය
0 මම නැටු් නටද්දී අපි ඔහුගෙන් පතොක් දෙන්නෝය,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙන්නෝය
0 මම නැටමු් නටද්දී අපි ඔහුගෙන් ොපතක් දීපන්,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දීපන්
0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පතොක් දීපල්ලා,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දීපල්ලා
0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙමි
0 ම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දමිවා,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙමිවා
0 මම නටැුම් නටද්දී අපි ඔහුගේන පොතක් දෙමු,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙමු
0 මම නැටුම් නටද්දී අපි ඔහුගන් පොතක් දෙමුවා,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙමුවා
0 මම ැනටුම් නටද්දී අපි ඔහුගෙන් පොත් දෙයි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙයි
0 මම නැුටම් ටනද්දී අපි ඔහුගෙන් පොතක් දෙව,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙව
0 ම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවති,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවති
0 මම නැටුම් නදට්දී අපි ඔහුගෙන් පොතක් දෙවන්නීය,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවන්නීය
0 මම ැනටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවන්නෙමි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවන්නෙමි
0 ම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවන්නෙමු,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවන්නෙමු
0 මම නැටුම් නට්දී අපි ඔහුගෙන් පොතක් දෙවන්නෙහි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවන්නෙහි
0 මම නැටුම් නදට්දී අපි ඔහුගෙන් පොතක් දෙවන්නෙු,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවන්නෙහු
0 මම නැටුම් නටද්දී පඅි ඔහුගෙන් පොතක් දෙවන්නේය,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවන්නේය
0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවන්නෝය,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවන්නෝය
0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවමි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවමි
0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවමු,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවමු
0 මම නටුම් නටද්දී අපි ඔහුගෙන් පොත්ක දෙවයි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවයි
0 මම නැටුම් නට්දී අපි ඔහුගෙන් පොතක් දෙහවි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවහි
0 මම නැුමට් නටද්දී අපි ඔහුගෙන් පොතක් දෙවහු,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවහු
0 මම නැටුම් නටද්දී අපි ඔහුගේන පොතක් දෙවු,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවු
0 මම නටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙහි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙහි
0 මම නැුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙහිවා,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙහිවා
0 මම නැටුම් නට්දදී අපි ඔහුගෙන් පොතක් දෙහු,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙහු
0 මම නැටම් නටද්දී අපි ඔහුගෙන් පොතක් දෙහුවා,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙහුවා
0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙනලදී,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙනලදී
0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොත් දුන්නෙමි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දුන්නෙමි
0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දුන්නමෙු,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දුන්නෙමු
0 ම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දුන්නෙහි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දුන්නෙහි
0 මම නැටුම් නදට්දී අපි ඔහුගෙන් පොතක දුන්නෙහු,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දුන්නෙහු
0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දුන්නේය,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දුන්නේය
0 මම ැනටුම් නටද්දී අපි ඔහුගෙන් පොතක් දුන්නය,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දුන්නාය
0 මම නැටුම් නටද්දී අි ඔහුගෙන් පොතක් දුන්නෝය,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දුන්නෝය
0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවේ,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවේ
0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවෙමි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවෙමි
0 මම නැටුම් නටද්දී අි ඔහුගෙන් පොතක් දෙවෙමු,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවෙමු
0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොක් දෙවෙහි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවෙහි
0 මම නැටුම් නටද්ීද පඅි ඔහුගෙන් පොතක් දෙවෙහු,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවෙහු
0 ම නැටුම් නදට්දී අපි ඔහුගෙන් පොතක් දෙවෙයි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවෙයි
0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් ෙදවතෙි,0 මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙවෙති
0 මම නැටුම් නට්දී නුබ ඔහුගෙන් පොතක් දෙති,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙති
0 මම නැටුම් නටද්දී නබු ඔහුගෙන් පොතක් දෙත්වා,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙත්වා
0 මම නැටුම් නටද්දී නුබ ඔහුගේ පොතක දෙනවා,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙනවා
0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් ෙනවාලා,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙනවාලා
0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙනු,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙනු
0 මම නැටුම් නටදදී නබු ඔහුගෙන් පොතක් දෙන්න,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙන්න
0 මම නැටුම් නදට්දී නුබ ඔහුගෙන් පොතක් දෙන්නීය,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙන්නීය
0 මම නැටු්ම නටද්දී නුබ ඔහුගෙන් පොතක් දෙන්නෙමි,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙන්නෙමි
0 මම නැටුම් නටද්දී නබ ඔහුගෙන් පොතක් දෙන්නෙමිවා,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙන්නෙමිවා
0 ම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙන්නෙමු,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙන්නෙමු
0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙන්නෙමුවා,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙන්නෙමුවා
0 මම නැටුම් නටදද්ී නුබ ඔහුගෙන් පොතක් දෙන්නෙහි,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙන්නෙහි
0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පත්ක දෙන්නෙහිවා,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙන්නෙහිවා
0 මම නටැුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙන්නේය,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙන්නේය
0 ම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙන්නෝය,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙන්නෝය
0 මම නැුටම් නටද්දී නුබ ඔහුගෙන් පොතක් දීනප්,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දීපන්
0 මම නැටුම් ටනද්දී නුබ ඔහුගෙන් පොතක් දීපල්ලා,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දීපල්ලා
0 මම නැටුම් නටද්දී නුබ ඔහුගෙන ොතක් දෙමි,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙමි
0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොත් දෙමිවා,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙමිවා
0 මම නැටුම් නදට්දී නබ ඔහුගෙන් පොතක් දෙමු,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙමු
0 මම නැටුම් නටද්දී නුබ ඔහුගේ පොතක් දෙමුවා,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙමුවා
0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පතොක් දෙයි,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙයි
0 මම නැටමු් ටනද්දී නුබ ඔහුගෙන් පොතක් දෙව,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙව
0 මම නැටුම් නට්දී නුබ ඔහුගෙන් පොතක් දෙවති,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙවති
0 ම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙවන්නීය,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙවන්නීය
0 මම නැටුම් නටද්දී නුබ ඔහගෙන පොතක් දෙවන්නෙමි,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙවන්නෙමි
0 ම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙවන්නෙමු,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙවන්නෙමු
0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙවන්නෙහි,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙවන්නෙහි
0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොත්ක දෙවන්නෙහු,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙවන්නෙහු
0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙව්නනේය,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙවන්නේය
0 මම නැටුම් නටද්ීද නුබ ඔහුගෙන් පොතක් දෙවනන්ෝය,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙවන්නෝය
0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙවමි,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙවමි
0 මම නැටුම් නටද්ී නුබ ඔහුගෙන් පොතක් දෙවමු,0 මම නැටුම් නටද්දී නුබ ඔහුගෙන් පොතක් දෙවමු
